ID;Bezeichner;Gehäuse;Stückzahl;Bezeichnung;Anbieter und Ref.;;Farnell in Liste;bestellt;;;;;;;;
1;P12;4mmHorizontal;1;VCC;;;;ok;;;;;;;;
2;U10;LQFP-100_14x14mm_Pitch0.5mm;1;STM32F407VGTx;;;2064368;ok;;;;;;;;
3;P2;pel_molex-CM-502386-03;1;CONN_01X03;;;;ok;;;;;;;;
4;P3,P4,P5,P6,P11;pel_molex-CM-502386-04;5;CONN_01X04;;;;ok;;;;;;;;
5;REF**,REF**,REF**,REF**;MountingHole_3.2mm_M3;4;MountingHole_3.2mm_M3;;;;ok;;;;;;;;
6;P7;JST_EH_B07B-EH-A_07x2.50mm_Straight;1;CONN_01X07;;;;ok;;;;;;;;
7;U11;SOIC-8_3.9x4.9mm_Pitch1.27mm;1;TJA1051T;;;2400551;ok;;;;;;;;
8;P8;4mmHorizontal;1;BAT+;;;;ok;;;;;;;;
9;P13,P9;4mmHorizontal;2;GND;;;;ok;;;;;;;;
10;P14,P15;FPC_2;2;CONN_01X02;;;;ok;;;;;;;;
11;Q13,Q15;TDSON-8-1_HandSoldering;2;NMOS_TDSON;;;2480741;ok;;;;;;;;
12;U9;SOT-223;1;AP111750;;;1825292;ok;;;;;;;;
13;R146,R143,R126,R128,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R118,R119,R120,R121,R122,R123,R124,R125,R129,R132,R133,R137,R142;R_0603_HandSoldering;66;10K;;;9238603;ok;;;;;;;;
14;C38,C43,C31,C33,C34,C37,C39,C40,C41,C45;R_0603_HandSoldering;10;100nF;;;1759122;ok;;;;;;;;
15;C44;R_0603_HandSoldering;1;1uF;;;2346901;ok;;;;;;;;
16;L5,L3;C_0603_HandSoldering;2;1uH 750mA;;;2066862;ok;;;;;;;;
17;R32,R34,R31,R33,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R127,R134;R_0603_HandSoldering;38;100K;;;2309107;ok;;;;;;;;
18;C53,C25,C26,C35,C36;R_0805_HandSoldering;5;4,7uF 16V;;;2211173;ok;;;;;;;;
19;R3,R1,R2,R4,R5,R6;R_0603_HandSoldering;6;3,3k;;;;ok;;;;;;;;
20;U2,U1,U3,U4,U5,U6;SOIC-8_3.9x4.9mm_Pitch1.27mm;6;LM358;;;1468920;ok;;;;;;;;
21;Y1;Crystal_SMD_0603-2pin_6.0x3.5mm_HandSoldering;1;8MHz;;;2101337;ok;;;;;;;;
22;P1;USB_Mini-B;1;USB_OTG;;;;ok;;;;;;;;ok
23;L1,L2;SELF-WE-TPC_M;2;100uH/4818/0.4A;;;1635844;ok;;;;;;;;
24;D3,D2,D4;D_SOD-123F;3;D_Schottky;;;1858617;ok;;;;;;;;
25;C27,C2,C1,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C55,C48,C56,C57;C_0603_HandSoldering;23;100nF;;;1759122;ok;;;;;;;;
26;Q7,Q8,Q9,Q10,Q11,Q12;TDSON-8-1_HandSoldering;6;PMOS_TDSON;;;2480784;ok;;;;;;;;
27;C47,C29,C30,C46;R_0603_HandSoldering;4;18pF;;;;ok;;;;;;;;
28;U7;TSOT-23-6_MK06A_HandSoldering;1;MP3216DJ-LF-Z;;;mouser!;;;;;;;;;ok
29;U13;TI_SO-PowerPAD-8;1;LM5017MR;;;2323533;ok;;;;;;;;
30;R145;R_0603_HandSoldering;1;10.7K;;;2303193;ok;;;;;;;;
31;R139;R_0603_HandSoldering;1;221K;;;2059512;ok;;;;;;;;
32;R14,R19,R13,R15,R16,R17,R18,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30;SM_3 Pad;18;1R2;;;mouser!;;;;279-SMW31R2JT;;nein aber : 279-SMW31R5JT;;;ok
33;32.768kHz1;Crystal_SMD_MicroCrystal_CC7V-T1A-2pin_3.2x1.5mm_HandSoldering;1;Crystal_Small;;;2101347;ok;;;;;;;;
34;C19,C20,C21,C22,C23,C24,C28;C_1210_HandSoldering;7;2.2uF 100V;;;1793832;ok;;;;;;;;
35;C32;R_0603_HandSoldering;1;10uF;;;2494233;ok;;;;;;;;
36;D1,D5;D_SOD-123;2;D;;;;ok;;;;;;;;
37;Q1,Q2,Q3,Q4,Q5,Q6;SOT-23;6;BC846;;;;ok;;;;;;;;
38;R7,R8,R9,R10,R11,R12;R_0603_HandSoldering;6;47k;;;2447376;ok;;;;;;;;
39;R116;R_0603_HandSoldering;1;123K;;;2059499;ok;;;;;;;;
40;R117;R_0603_HandSoldering;1;5K1;;;1100211;ok;;;;;;;;
41;R130;R_0603_HandSoldering;1;120R;;;;ok;;;;;;;;
42;R131;R_0603_HandSoldering;1;OTG Jumper;;;;ok;;;;;;;;
43;R135;R_0603_HandSoldering;1;100R;;;2447227;ok;;;;;;;;
44;R136;R_1206_HandSoldering;1;5mR;;;1099906;ok;;;;;;;;
45;R138;R_0603_HandSoldering;1;5K;;;4k7;;;;;;;;;
46;U8;SOT-223;1;AP111733;;;1825291;ok;;;;;;;;
47;U12;SOT-23-5_HandSoldering;1;LT6106;;;1663842;ok;;;;;;;;
48;SW1;SW_SPST_EVQPE1;1;SW_PUSH_SMALL_H;;;;ok;;;;;;;;
49;C42;C_1206_HandSoldering;1;4.7uF 100V X7S;;;2310265;ok;;;;;;;;
50;C49;C_1206_HandSoldering;1;0.1uF 100V X7R;;;1828921;ok;;;;;;;;
51;C50;R_0603_HandSoldering;1;0.01uF 50V;;;1414609;ok;;;;;;;;
52;C51;R_0603_HandSoldering;1;1uF 50V;;;2211179;ok;;;;;;;;
53;C52;CP_Tantalum_Case-V_EIA-7343-20_Hand;1;Tantal 100uF 10V;;;570370;ok;;;;;;;;
54;C54;R_0603_HandSoldering;1;3.3nF 50V;;;1759095;ok;;;;;;;;
55;L4;Inductor_Wurth_HCI-1040;1;330uF 690mA;;;2288197;ok;;;;;;;;
56;R140;R_0603_HandSoldering;1;51.1K;;;2059473;ok;;;;;;;;
57;R141;R_0603_HandSoldering;1;2.37k;;;1170824;ok;;;;;;;;
58;R144;R_0603_HandSoldering;1;10k;;;;ok;;;;;;;;
59;U14;SOT-363_SC-70-6_Handsoldering;1;NUF2221W1T2G;;;2101235;ok;r�ck;;;;;;;
60;P10;FPC_14;1;CONN_01X14;;;;ok;;;;;;;;
61;J1,J2,J3,J4,J5;Measurement_Point_Round-SMD-Pad_Small;5;CONN_01X01;;;;ok;;;;;;;;
62;G***;FSD-LOGO;1;LOGO;;;;ok;;;;;;;;
